longitude,latitude,potential
-114.390225,32.634520,7.22147567e+02
-117.072291,32.635740,3.57121027e+04
-114.405299,32.635839,3.57373615e+02
-117.085190,32.635873,3.89427473e+04
-116.997864,32.637058,1.48532687e+04
-116.959885,32.637631,7.05349215e+03
-117.017561,32.640592,2.53326292e+04
-117.080218,32.641007,3.80933833e+04
-117.097053,32.642539,3.24409122e+04
-114.558097,32.643271,7.48931361e+02
-117.088665,32.643476,3.58689342e+04
-117.071795,32.643689,4.36152034e+04
-117.015167,32.646126,1.96260768e+04
-116.439711,32.646176,6.41517587e+01
-116.991797,32.646609,2.02978616e+04
-117.041475,32.646963,1.90219220e+04
-117.088589,32.649335,3.61422695e+04
-117.075573,32.649822,4.29650018e+04
-116.977704,32.650352,1.30105443e+04
-114.586036,32.651784,1.13362990e+03
-114.403137,32.652272,1.31336575e+03
-114.416654,32.655908,1.11000070e+03
-116.958154,32.657087,5.51282021e+03
-116.820957,32.657666,6.69439419e+02
-116.983156,32.657697,1.28800880e+04
-117.059284,32.658192,2.58012131e+04
-114.526824,32.659334,6.23157030e+02
-117.155429,32.659905,7.32175334e+03
-117.096124,32.660443,3.73258853e+04
-117.013255,32.660559,1.61149178e+04
-114.452022,32.661642,1.17149908e+03
-114.430765,32.662407,1.82677205e+03
-114.475746,32.663115,7.30309738e+02
-114.628075,32.663323,5.30912885e+03
-117.072492,32.665142,4.23821703e+04
-117.096390,32.666258,3.96935349e+04
-117.088379,32.667235,3.49322901e+04
-114.672267,32.667947,2.72925189e+03
-117.116456,32.668611,1.88043462e+04
-115.486417,32.668650,3.11024965e+03
-117.053430,32.670078,3.35437720e+04
-114.161057,32.670347,1.75384658e+01
-117.077368,32.671164,4.57903040e+04
-116.991008,32.672481,1.10299086e+04
-117.064690,32.672676,3.58883594e+04
-114.627447,32.673336,9.85128265e+03
-117.096384,32.674016,4.10924034e+04
-117.031292,32.674400,2.00244600e+04
-114.393455,32.674923,6.28888967e+02
-115.481026,32.677037,1.32337577e+03
-115.496173,32.677114,1.80542325e+02
-114.454641,32.677573,1.34885404e+03
-117.054746,32.677805,4.02500827e+04
-114.652789,32.677940,5.82574136e+03
-115.514566,32.678137,1.54800158e+03
-114.613889,32.678243,5.54218940e+03
-114.473746,32.678296,1.66345382e+03
-117.087099,32.678904,5.84677789e+04
-117.075133,32.679103,5.81463615e+04
-114.431242,32.679432,7.38908473e+02
-117.239889,32.679684,2.94068977e+03
-114.626709,32.680033,7.14812771e+03
-117.045152,32.680214,3.93929411e+04
-117.104367,32.680495,5.54870489e+04
-114.601135,32.680522,4.20692072e+03
-117.079587,32.681814,6.27159156e+04
-117.062352,32.682666,5.18418096e+04
-117.039307,32.683650,3.08881940e+04
-117.097431,32.684480,4.67942679e+04
-114.509459,32.684984,6.12290799e+02
-117.124518,32.686458,3.87414607e+04
-117.107471,32.686763,4.89786256e+04
-117.173794,32.686886,1.34374307e+04
-117.031437,32.687904,3.60498731e+04
-117.184659,32.688768,2.66501571e+04
-114.701322,32.688824,1.96372908e+03
-117.080769,32.689185,4.93891070e+04
-117.202163,32.689299,7.02286778e+03
-114.619114,32.689831,5.89682639e+03
-117.182808,32.690208,1.77013761e+04
-114.631981,32.690445,1.28085441e+04
-115.483221,32.690887,1.16286367e+03
-114.654138,32.690893,1.04645945e+04
-117.055938,32.691553,4.01873863e+04
-114.672190,32.691659,5.88588028e+03
-114.645331,32.691787,1.03263630e+04
-117.115428,32.692214,5.80353129e+04
-117.099435,32.692411,6.49245595e+04
-117.108037,32.693313,6.89676024e+04
-117.170521,32.694098,2.45669728e+04
-117.020834,32.694840,2.50754268e+04
-117.064748,32.695955,4.05750954e+04
-117.036488,32.696018,3.06705151e+04
-117.178359,32.696811,2.09736426e+04
-117.089024,32.697216,5.78717608e+04
-117.140956,32.697241,4.53344751e+04
-117.126688,32.697316,4.77729438e+04
-117.113278,32.698570,6.73749724e+04
-117.080168,32.699364,4.84192220e+04
-117.044618,32.700071,4.25209554e+04
-117.101463,32.700468,4.91659352e+04
-117.137919,32.701970,6.57014631e+04
-114.564163,32.702028,1.05328480e+03
-114.668588,32.702334,9.12246348e+03
-114.651840,32.702986,1.65028198e+04
-117.076824,32.703000,5.66747758e+04
-117.127328,32.703339,6.18044703e+04
-116.999596,32.704012,2.29939069e+04
-114.634337,32.704547,6.76735358e+03
-117.115619,32.704909,5.36579568e+04
-117.023102,32.705823,3.76823427e+04
-117.063196,32.706203,3.58346361e+04
-117.043313,32.706876,3.50158485e+04
-117.090344,32.706902,4.65746310e+04
-117.016103,32.707548,2.75720103e+04
-117.151174,32.707712,5.87363682e+04
-117.138342,32.708604,6.39469177e+04
-116.916417,32.708707,3.11899436e+03
-117.127470,32.708744,6.61397551e+04
-117.144894,32.708866,6.28101813e+04
-114.663855,32.709744,1.15415627e+04
-117.028887,32.710269,3.08891029e+04
-116.990090,32.711343,1.55264363e+04
-117.004255,32.711429,2.88706800e+04
-114.674188,32.712483,5.28431661e+03
-117.165037,32.712525,5.63637933e+04
-117.061919,32.712638,4.27239565e+04
-117.106552,32.713183,4.59129203e+04
-117.094151,32.713271,4.81349089e+04
-114.648716,32.713379,1.06559079e+04
-117.162496,32.714757,3.54093855e+04
-117.153497,32.715204,6.91644825e+04
-117.131876,32.715621,6.41773571e+04
-116.855462,32.715658,1.36801393e+03
-117.144443,32.715865,9.65315586e+04
-114.621091,32.716315,9.02510135e+03
-117.076222,32.716634,3.41129009e+04
-114.639974,32.716750,1.24304785e+04
-117.036295,32.716834,3.94034880e+04
-117.137682,32.717504,6.95963742e+04
-117.237885,32.717770,8.30345919e+03
-114.659266,32.718257,1.26665454e+04
-116.989998,32.719059,2.47273634e+04
-114.629396,32.719254,6.83313512e+03
-117.003248,32.719736,3.15434981e+04
-117.160962,32.721594,7.71081541e+04
-117.168420,32.722743,3.17713426e+04
-117.251152,32.723425,8.52238565e+03
-116.978413,32.724351,1.50017038e+04
-117.032046,32.724495,3.31718135e+04
-116.962607,32.724499,1.09236190e+04
-117.129425,32.724760,4.62649372e+04
-117.056406,32.724791,3.02100907e+04
-117.162601,32.724822,7.79964925e+04
-117.146281,32.724946,4.77983855e+04
-117.212046,32.725118,1.23756558e+04
