longitude,latitude,potential
-121.839769,37.332759,7.69822185e+04
-121.943659,37.333258,3.64364883e+04
-122.049284,37.333742,2.26727644e+04
-121.913921,37.333757,3.72758568e+04
-121.878444,37.333873,7.79834284e+04
-121.791895,37.333925,3.40871564e+04
-121.984881,37.334296,4.94188162e+04
-121.885044,37.335084,8.12789084e+04
-121.834414,37.336089,6.61323778e+04
-121.863779,37.338027,7.02939808e+04
-121.875525,37.338088,6.70817671e+04
-121.961725,37.338335,4.14344284e+04
-121.922302,37.340452,3.66701943e+04
-121.832959,37.340998,8.79438924e+04
-121.986670,37.341349,4.39469516e+04
-122.080149,37.341387,1.48795109e+04
-121.858220,37.341507,7.19842220e+04
-121.887921,37.342079,6.56988470e+04
-121.797792,37.342444,3.33023162e+04
-122.037541,37.342676,2.95660357e+04
-121.814756,37.342682,4.17968708e+04
-121.943698,37.343162,3.12209970e+04
-121.827137,37.343966,6.79359563e+04
-122.046314,37.344247,3.77276153e+04
-122.003863,37.344551,3.62868493e+04
-122.027342,37.344632,3.96145321e+04
-122.056714,37.344794,2.95584746e+04
-121.867313,37.344952,7.23551438e+04
-121.839390,37.345523,8.29205795e+04
-122.017285,37.345610,3.87976151e+04
-121.932589,37.346316,2.79194538e+04
-122.071309,37.346496,1.77181968e+04
-121.963483,37.346548,3.98844471e+04
-121.879370,37.346631,7.11627758e+04
-121.972694,37.346661,3.26951818e+04
-121.853697,37.347339,7.00626835e+04
-121.891906,37.347641,5.53003646e+04
-121.901152,37.348046,3.28783506e+04
-121.988705,37.348904,4.15176849e+04
-121.819936,37.349265,4.65724781e+04
-121.801464,37.349393,3.51631109e+04
-121.944807,37.349829,3.19164527e+04
-121.845233,37.349897,9.28912908e+04
-121.787177,37.350076,1.90784719e+04
-121.870448,37.352404,6.44749481e+04
-121.882603,37.353367,4.42460221e+04
-122.096103,37.353549,1.20862898e+04
-121.833617,37.354334,4.90905731e+04
-121.811565,37.354350,4.51469842e+04
-121.847659,37.354433,7.95850237e+04
-121.862179,37.355024,6.45291030e+04
-122.042865,37.355827,3.21519607e+04
-122.026949,37.356804,3.10393747e+04
-121.998496,37.357164,6.05285630e+04
-122.010174,37.357685,4.52777533e+04
-121.889739,37.357964,3.77593071e+04
-121.954237,37.358222,3.14258442e+04
-121.852676,37.358229,7.42490702e+04
-122.080427,37.358630,2.09390305e+04
-121.827559,37.359288,5.94305540e+04
-121.981023,37.359325,4.14202282e+04
-121.963136,37.359404,3.18880872e+04
-121.990372,37.359480,4.11929040e+04
-122.002322,37.359716,4.05030636e+04
-122.138482,37.360924,5.65012035e+03
-121.845602,37.361783,8.52320896e+04
-121.972812,37.361944,3.82303156e+04
-121.912359,37.362668,2.10326072e+04
-122.056084,37.363006,2.49901423e+04
-121.860387,37.363039,6.05237336e+04
-122.021261,37.363692,4.17679530e+04
-121.815534,37.363898,3.73156008e+04
-122.041580,37.364586,3.52045235e+04
-121.841744,37.365185,8.26085884e+04
-121.984879,37.367906,2.79345993e+04
-121.821026,37.368757,4.22179559e+04
-121.837112,37.368768,6.56313675e+04
-122.089213,37.369157,1.97989734e+04
-122.011927,37.370119,3.16415170e+04
