longitude,latitude,potential
-121.920893,37.298011,4.96764782e+03
-121.877713,37.298200,4.83981741e+03
-121.954860,37.298471,4.00141705e+03
-121.845831,37.299730,3.75012694e+03
-121.990038,37.300368,3.23892916e+03
-121.906787,37.300819,4.54939639e+03
-121.809995,37.301190,2.95907128e+03
-121.788215,37.301198,2.34259517e+03
-121.946248,37.301363,4.30142374e+03
-121.837590,37.301446,3.51840910e+03
-122.019073,37.302019,2.86571744e+03
-122.037885,37.302357,2.49559967e+03
-122.001714,37.302823,2.94633548e+03
-122.010198,37.302857,2.72034586e+03
-121.922863,37.302987,4.34147363e+03
-122.028785,37.303077,2.86418345e+03
-122.051982,37.304131,2.33955869e+03
-121.971727,37.304539,3.45831504e+03
-121.892750,37.304678,4.75410590e+03
-121.937023,37.304919,4.09733336e+03
-121.826271,37.305003,3.47158625e+03
-121.804444,37.307663,3.25313327e+03
-121.790860,37.308339,2.83526482e+03
-121.908525,37.308945,4.89898767e+03
-121.875870,37.309241,4.54440763e+03
-121.956470,37.309851,4.15391242e+03
-121.765004,37.310399,2.17847646e+03
-121.923805,37.310720,4.72119609e+03
-121.853597,37.310896,4.31319983e+03
-121.778939,37.311595,2.67318061e+03
-121.833128,37.311726,3.57093477e+03
-121.970927,37.312304,3.89732142e+03
-122.041614,37.312691,2.69269642e+03
-121.822303,37.313184,3.44557661e+03
-121.985691,37.314221,3.32537639e+03
-121.946508,37.315540,4.03155236e+03
-121.880515,37.316082,5.93933384e+03
-121.896115,37.316472,5.52185879e+03
-122.023131,37.317378,2.97667836e+03
-122.001483,37.317486,2.91371849e+03
-122.010779,37.317534,2.74411509e+03
-121.842193,37.317895,3.97443035e+03
-121.802200,37.317961,3.94628762e+03
-121.909324,37.318218,5.68670624e+03
-121.817570,37.318733,4.39410191e+03
-121.963969,37.319520,3.85956970e+03
-121.919632,37.319869,4.98222579e+03
-121.982513,37.320126,3.71272193e+03
-121.773023,37.320310,2.86362643e+03
-121.789145,37.320357,3.51110533e+03
-122.050286,37.320389,2.65731650e+03
-122.068670,37.321215,1.93357160e+03
-121.884841,37.322218,5.91236470e+03
-121.840038,37.322472,4.19674902e+03
-121.855707,37.322736,4.82081698e+03
-121.930768,37.322759,4.65941310e+03
-121.871301,37.323857,5.54305256e+03
-121.833502,37.324450,4.17776904e+03
-122.110151,37.326465,1.12037718e+03
-121.985850,37.326850,3.17894567e+03
-121.790001,37.327607,3.29924285e+03
-121.852034,37.327655,4.45698606e+03
-121.825536,37.328568,4.28085513e+03
-121.896485,37.328602,5.63750325e+03
-122.041961,37.329147,2.62368733e+03
-121.803908,37.329520,3.59038409e+03
-121.927363,37.329809,4.80883565e+03
-121.876139,37.329928,6.46423151e+03
-121.971254,37.330268,3.41390234e+03
-122.023241,37.330886,2.50526133e+03
-122.003183,37.331013,2.70918603e+03
-121.776425,37.331051,2.47862696e+03
-121.907506,37.331381,6.42722855e+03
-121.847488,37.331496,4.78139315e+03
-121.957205,37.331870,4.05176865e+03
-121.839769,37.332759,4.68868541e+03
-121.943659,37.333258,4.54175027e+03
-122.049284,37.333742,2.74058860e+03
-121.913921,37.333757,5.59767522e+03
-121.878444,37.333873,8.14298725e+03
-121.791895,37.333925,3.07726174e+03
-121.984881,37.334296,3.14138732e+03
-121.885044,37.335084,6.33710128e+03
-121.834414,37.336089,5.40814792e+03
-121.863779,37.338027,5.12421515e+03
-121.875525,37.338088,6.49262288e+03
-121.961725,37.338335,3.97349788e+03
-121.922302,37.340452,4.82093254e+03
-121.832959,37.340998,5.57771287e+03
-121.986670,37.341349,3.70331524e+03
-122.080149,37.341387,2.02713852e+03
-121.858220,37.341507,4.81115811e+03
-121.887921,37.342079,5.45358224e+03
-121.797792,37.342444,3.35685535e+03
-122.037541,37.342676,2.48976700e+03
-121.814756,37.342682,3.89870800e+03
-121.943698,37.343162,4.65695326e+03
-121.827137,37.343966,4.95194701e+03
-122.046314,37.344247,3.15671511e+03
-122.003863,37.344551,3.25423559e+03
-122.027342,37.344632,3.07152526e+03
-122.056714,37.344794,2.56564375e+03
-121.867313,37.344952,5.35712556e+03
-121.839390,37.345523,4.24989012e+03
-122.017285,37.345610,2.70643785e+03
-121.932589,37.346316,4.03889024e+03
-122.071309,37.346496,2.26584429e+03
-121.963483,37.346548,3.99322914e+03
-121.879370,37.346631,5.54708754e+03
-121.972694,37.346661,3.34672641e+03
-121.853697,37.347339,4.49298466e+03
-121.891906,37.347641,5.71630135e+03
-121.901152,37.348046,4.93796592e+03
-121.988705,37.348904,3.76073969e+03
-121.819936,37.349265,4.23710026e+03
-121.801464,37.349393,2.99484035e+03
-121.944807,37.349829,4.07459313e+03
-121.845233,37.349897,5.14218398e+03
-121.787177,37.350076,2.60015584e+03
-121.870448,37.352404,4.22193307e+03
-121.882603,37.353367,3.93987795e+03
-122.096103,37.353549,1.97859684e+03
-121.833617,37.354334,3.93617817e+03
-121.811565,37.354350,3.34527033e+03
-121.847659,37.354433,4.62655374e+03
-121.862179,37.355024,4.27178174e+03
-122.042865,37.355827,2.71949058e+03
-122.026949,37.356804,2.81887463e+03
-121.998496,37.357164,4.05971584e+03
-122.010174,37.357685,3.14358470e+03
-121.889739,37.357964,4.34344025e+03
-121.954237,37.358222,4.41342521e+03
-121.852676,37.358229,4.46741289e+03
-122.080427,37.358630,2.24722735e+03
-121.827559,37.359288,4.48980110e+03
-121.981023,37.359325,3.45129082e+03
-121.963136,37.359404,3.34404295e+03
-121.990372,37.359480,3.98440403e+03
-122.002322,37.359716,3.38379283e+03
-122.138482,37.360924,1.07043967e+03
-121.845602,37.361783,4.08847672e+03
-121.972812,37.361944,2.93190458e+03
-121.912359,37.362668,3.46176139e+03
-122.056084,37.363006,2.22178229e+03
-121.860387,37.363039,3.93788681e+03
-122.021261,37.363692,3.32479486e+03
-121.815534,37.363898,3.44996650e+03
-122.041580,37.364586,2.58628052e+03
