longitude,latitude
-114.652789,32.677940
-115.514566,32.678137
-114.613889,32.678243
-114.473746,32.678296
-117.087099,32.678904
-117.075133,32.679103
-114.431242,32.679432
-117.239889,32.679684
-114.626709,32.680033
-117.045152,32.680214
-117.104367,32.680495
-114.601135,32.680522
-117.079587,32.681814
-117.062352,32.682666
-117.039307,32.683650
-117.097431,32.684480
-114.509459,32.684984
-117.124518,32.686458
-117.107471,32.686763
-117.173794,32.686886
-117.031437,32.687904
-117.184659,32.688768
-114.701322,32.688824
-117.080769,32.689185
-117.202163,32.689299
-114.619114,32.689831
-117.182808,32.690208
-114.631981,32.690445
-115.483221,32.690887
-114.654138,32.690893
-117.055938,32.691553
-114.672190,32.691659
-114.645331,32.691787
-117.115428,32.692214
-117.099435,32.692411
-117.108037,32.693313
-117.170521,32.694098
-117.020834,32.694840
-117.064748,32.695955
-117.036488,32.696018
-117.178359,32.696811
-117.089024,32.697216
-117.140956,32.697241
-117.126688,32.697316
-117.113278,32.698570
-117.080168,32.699364
-117.044618,32.700071
-117.101463,32.700468
-117.137919,32.701970
-114.564163,32.702028
-114.668588,32.702334
-114.651840,32.702986
-117.076824,32.703000
-117.127328,32.703339
-116.999596,32.704012
-114.634337,32.704547
-117.115619,32.704909
-117.023102,32.705823
-117.063196,32.706203
-117.043313,32.706876
-117.090344,32.706902
-117.016103,32.707548
-117.151174,32.707712
-117.138342,32.708604
-116.916417,32.708707
-117.127470,32.708744
-117.144894,32.708866
-114.663855,32.709744
-117.028887,32.710269
-116.990090,32.711343
-117.004255,32.711429
-114.674188,32.712483
-117.165037,32.712525
-117.061919,32.712638
-117.106552,32.713183
-117.094151,32.713271
-114.648716,32.713379
-117.162496,32.714757
-117.153497,32.715204
-117.131876,32.715621
-116.855462,32.715658
-117.144443,32.715865
-114.621091,32.716315
-117.076222,32.716634
-114.639974,32.716750
-117.036295,32.716834
-117.137682,32.717504
-117.237885,32.717770
-114.659266,32.718257
-116.989998,32.719059
-114.629396,32.719254
-117.003248,32.719736
-117.160962,32.721594
-117.168420,32.722743
-117.251152,32.723425
-116.978413,32.724351
-117.032046,32.724495
-116.962607,32.724499
-117.129425,32.724760
-117.056406,32.724791
-117.162601,32.724822
-117.146281,32.724946
-117.212046,32.725118
-117.020577,32.725340
-114.646243,32.725470
-117.008565,32.725476
-117.093328,32.726255
-117.193144,32.727795
-117.042858,32.727926
-117.076533,32.728145
-117.224482,32.729262
-117.120076,32.729453
-117.163722,32.729457
-117.106808,32.729554
-117.235605,32.733172
-117.083502,32.734304
-117.010473,32.734456
-117.163974,32.735724
-117.097413,32.735878
-117.129047,32.735991
-117.244683,32.736039
-117.024686,32.736063
-116.964701,32.736267
-117.172535,32.737369
-117.040339,32.738097
-116.981415,32.740140
-117.197515,32.740270
-117.069304,32.740272
-117.107687,32.741059
-117.251705,32.741407
-116.998837,32.741879
-117.035273,32.742597
-117.222228,32.743580
-117.123847,32.743994
-117.162630,32.744548
-117.206995,32.744887
-117.133834,32.744914
-117.089326,32.744949
-117.142818,32.745192
-117.174563,32.745228
-117.150034,32.745381
-117.067393,32.745421
-117.096191,32.745473
-117.084393,32.745747
-117.234535,32.746081
-117.009567,32.746359
-117.104377,32.746865
-117.247749,32.747604
-117.115642,32.747698
-115.528518,32.748168
-117.044378,32.748687
-117.055123,32.748807
-116.940798,32.749271
-117.199592,32.750433
-117.219225,32.750499
-117.244438,32.750984
-116.919723,32.751199
-117.141809,32.751350
-117.132003,32.751474
-117.112584,32.751971
-117.162427,32.752161
-117.120758,32.752302
-117.104507,32.752354
-117.150763,32.752465
-117.173463,32.752469
-117.096534,32.752494
-117.185491,32.752611
-116.977281,32.752638
-117.089622,32.753013
-117.084220,32.754014
-117.072803,32.754207
-117.229452,32.754399
-117.024251,32.754766
-116.992940,32.755426
-114.611979,32.755506
-117.093456,32.757399
-116.948826,32.758171
-117.109267,32.758234
-117.132114,32.758270
-117.120100,32.758749
-117.141525,32.759261
-117.150085,32.759862
-117.029721,32.760467
-117.058786,32.760610
-117.011968,32.761458
-117.083652,32.761724
-117.041638,32.762471
-117.119276,32.762958
-117.093015,32.763029
-117.132833,32.763529
-117.180722,32.763599
-115.558490,32.763773
-117.073857,32.765529
-117.103912,32.767804
-117.188432,32.767968
-117.119504,32.768627
-116.991346,32.769646
-117.011098,32.769844
-117.049075,32.770788
-117.063613,32.770987
-117.037994,32.771060
-116.950525,32.771319
-116.900378,32.772754
-117.172004,32.772935
-117.196368,32.773347
-117.081280,32.774420
-117.142017,32.774553
-116.970247,32.776273
-116.920336,32.776492
-117.037411,32.776833
-117.247009,32.777508
-115.555037,32.777628
-117.177477,32.778645
-117.197156,32.779975
-117.025011,32.780019
-116.942641,32.783229
-117.165761,32.783642
-116.967258,32.783738
-116.958814,32.784093
-115.574094,32.784376
-117.010317,32.785057
-117.109621,32.785287
-117.072883,32.785349
-115.584363,32.785936
-117.031676,32.785984
-115.560008,32.786921
-117.091028,32.787412
-117.196050,32.788119
-116.994891,32.788980
-117.141632,32.788999
-117.175657,32.789624
-117.128095,32.789713
-117.240397,32.789904
